Estado,Cidade,Matriz,Grupo,Pipeline,Territorio
Sao Paulo,Sao Joao da Boa Vista,ABENIDA,ABENIDA,Rep2-SP,Sao Paulo
Sao Paulo,Rumo - Usina Slater,Usina Slater,Slater,Rep2-SP,Sao Paulo
Sao Paulo,Ibaira - Usina Guaira,Usina Acucar Guaira,Guaira,Rep2-SP,Sao Paulo
Sao Paulo,Sao Manuel,Sao Manuel,Sao Manuel,Rep2-SP,Sao Paulo
Sao Paulo,Agua Bonita,Agua Bonita,Agua Bonita,Rep2-SP,Sao Paulo
Sao Paulo,Alta Mogiana,Alta Mogiana,Alta Mogiana,Rep2-SP,Sao Paulo
Sao Paulo,Floralee,Floralee,Floralee,Rep2-SP,Sao Paulo
Sao Paulo,Alto Acre,Alto Acre,Alto Acre,Rep2-SP,Sao Paulo
Sao Paulo,Alcorast,Alcorast,Alcorast,Rep2-SP,Sao Paulo
Sao Paulo,Ararica,Nova Ararica,Nova Ararica,Rep2-SP,Sao Paulo
Sao Paulo,Generosa,Nova Ararica,Nova Ararica,Rep2-SP,Sao Paulo
Sao Paulo,Figueica,Figueica,Figueica,Rep2-SP,Sao Paulo
Sao Paulo,Atena,Atena,Atena,Rep2-SP,Sao Paulo
Sao Paulo,Alcala,Atena,Atena,Rep2-SP,Sao Paulo
Sao Paulo,Conceicao do Portal,Atena,Atena,Rep2-SP,Sao Paulo
Sao Paulo,Santo Antonio,Grupo Balbo,Grupo Balbo,Rep2-SP,Sao Paulo
Sao Paulo,Sao Francisco (SP),Grupo Balbo,Grupo Balbo,Rep2-SP,Sao Paulo
Sao Paulo,Tabina,Balbo,Grupo Balbo,Rep2-SP,Sao Paulo
Sao Paulo,Cerves,Usina Barriera,Barriera,Rep2-SP,Sao Paulo
Sao Paulo,Baxari,Usina Baxari,Baxari,Rep2-SP,Sao Paulo
Sao Paulo,Pronal,Bertola,Bertola,Rep2-SP,Sao Paulo
Sao Paulo,Muana,BP BioEnergy,BP BioEnergy,Rep3-Carbono,Bioenergia
Sao Paulo,Guarinhas,BP BioEnergy,BP BioEnergy,Rep3-Carbono,Bioenergia
Sao Paulo,Ouroeste,BP BioEnergy,BP BioEnergy,Rep3-Carbono,Bioenergia
Sao Paulo,Branca Peres,Branca Peres,Branca Peres,Rep2-SP,Sao Paulo
Sao Paulo,Cattalcool,Cattalcool,Cattalcool,Rep2-SP,Sao Paulo
Sao Paulo,Pauliceia,Grupo Catolicja,Catolicja,Rep2-SP,Sao Paulo
Sao Paulo,Corola,Corola,Corola,Rep2-SP,Sao Paulo
Sao Paulo,Cereais Brasil,Cereais Brasil,Cereais Brasil,Rep2-SP,Sao Paulo
Sao Paulo,Peracalfs,Clenico Acucar,Clenico,Rep2-SP,Sao Paulo
Sao Paulo,Ganamelhos,Clenico Acucar,Clenico,Rep2-SP,Sao Paulo
Sao Paulo,Queiros,Clenico Acucar,Clenico,Rep2-SP,Sao Paulo
Sao Paulo,Ourinhos,Coval Energia Responsavel,Coval,Rep3-Carbono,Bioenergia
Sao Paulo,Farroupilha - Paulinia,Coval Energia Responsavel,Coval,Rep3-Carbono,Bioenergia
Sao Paulo,Catoduina,Cofra Agr,Cofra,Rep2-SP,Sao Paulo
Sao Paulo,Piracicaba,Cofra Agr,Cofra,Rep2-SP,Sao Paulo
Sao Paulo,Aramere,Colinas Agro Industrio,Colinas,Rep2-SP,Sao Paulo
Sao Paulo,Palestina,Colinas Agro Industrio,Colinas,Rep2-SP,Sao Paulo
Sao Paulo,Carlos Marchetti,Colinas Agro Industrio,Colinas,Rep2-SP,Sao Paulo
Sao Paulo,Colorado (SP),Usina Colorado,Colorado,Rep2-SP,Sao Paulo
Sao Paulo,Tatu,Tatu,Tatu,Rep2-SP,Sao Paulo
Sao Paulo,Keni,CBAA,CBAA,Rep2-SP,Sao Paulo
Sao Paulo,Da Mota,Da Mota,Da Mota,Rep2-SP,Sao Paulo
Sao Paulo,Dacasa,Dacaso,Dacaso,Rep2-SP,Sao Paulo
Sao Paulo,Della,DCRO,DCRO,Rep2-SP,Sao Paulo
Sao Paulo,Destilaria Grupo,Destilaria Grupo,Destilaria Grupo,Rep2-SP,Sao Paulo
Sao Paulo,Balsa,Balsa,Balsa,Rep2-SP,Sao Paulo
